narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,sequence_id
P01_01_0,P01,P01_01,00:01.1,00:00.1,00:03.4,8,202,open door,open,3,door,3,['door'],[3],P01_01_seq_00001
P01_01_100,P01,P01_01,07:57.9,07:59.8,08:00.9,28785,28852,take cup,take,0,cup,13,['cup'],[13],P01_01_seq_00026
P01_01_104,P01,P01_01,08:07.6,08:08.4,08:09.1,29302,29347,put container on top of counter,put-on,1,container,21,"['container', 'top:counter']","[21, 42]",P01_01_seq_00027
P01_01_107,P01,P01_01,08:14.6,08:15.8,08:17.0,29748,29819,close lid,close,4,lid,6,['lid'],[6],P01_01_seq_00028
P01_01_11,P01,P01_01,00:28.0,00:29.2,00:31.3,1753,1879,close fridge,close,4,fridge,12,['fridge'],[12],P01_01_seq_00004
P01_01_110,P01,P01_01,08:25.7,08:24.7,08:27.9,30279,30475,put plate down,put-down,1,plate,2,['plate'],[2],P01_01_seq_00029
P01_01_114,P01,P01_01,08:35.2,08:36.8,08:38.0,31008,31082,open drawer,open,3,drawer,8,['drawer'],[8],P01_01_seq_00030
P01_01_120,P01,P01_01,09:00.6,09:02.0,09:03.0,32522,32578,take container,take,0,container,21,['container'],[21],P01_01_seq_00031
P01_01_124,P01,P01_01,09:11.5,09:13.4,09:14.5,33204,33269,take spatula,take,0,spatula,20,['spatula'],[20],P01_01_seq_00032
P01_01_129,P01,P01_01,09:23.3,09:24.2,09:28.8,33855,34130,cut carrots,cut,7,carrot,41,['carrot'],[41],P01_01_seq_00033
P01_01_132,P01,P01_01,09:49.0,09:47.0,09:55.6,35221,35734,still grating carrots,grate,77,carrot,41,['carrot'],[41],P01_01_seq_00034
P01_01_136,P01,P01_01,10:39.6,10:41.8,10:42.8,38508,38569,throw carrot into bin,throw-into,13,carrot,41,"['carrot', 'bin']","[41, 36]",P01_01_seq_00035
P01_01_139,P01,P01_01,10:50.5,10:52.8,10:53.8,39166,39229,throw carrot into bin,throw-into,13,carrot,41,"['carrot', 'bin']","[41, 36]",P01_01_seq_00036
P01_01_14,P01,P01_01,00:44.1,00:43.2,00:46.6,2592,2798,take cutting board,take,0,board:cutting,18,['board:cutting'],[18],P01_01_seq_00005
P01_01_144,P01,P01_01,11:10.5,11:07.3,11:14.2,40038,40449,put down saucepan,put-down,1,saucepan,5,['saucepan'],[5],P01_01_seq_00037
P01_01_147,P01,P01_01,11:22.7,11:23.4,11:37.4,41004,41841,pour water into saucepan,pour-into,9,water,27,"['water', 'saucepan']","[27, 5]",P01_01_seq_00038
P01_01_151,P01,P01_01,11:45.9,11:47.9,11:53.1,42472,42784,pour oil,pour,9,oil,31,['oil'],[31],P01_01_seq_00039
P01_01_154,P01,P01_01,11:56.2,11:57.9,11:58.8,43075,43128,take spatula,take,0,spatula,20,['spatula'],[20],P01_01_seq_00040
P01_01_157,P01,P01_01,12:01.5,12:02.5,12:03.6,43347,43413,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],P01_01_seq_00041
P01_01_161,P01,P01_01,12:30.0,12:31.6,12:33.1,45097,45189,open salt,open,3,salt,38,['salt'],[38],P01_01_seq_00042
P01_01_166,P01,P01_01,12:40.3,12:42.2,12:43.6,45729,45819,pour salt into water,pour-into,9,salt,38,"['salt', 'water']","[38, 27]",P01_01_seq_00043
P01_01_170,P01,P01_01,12:46.1,12:47.5,12:49.4,46050,46164,put down salt,put-down,1,salt,38,['salt'],[38],P01_01_seq_00044
P01_01_174,P01,P01_01,12:49.1,12:54.7,13:28.3,46483,48495,stir vegetables,stir,10,vegetable,94,['vegetable'],[94],P01_01_seq_00045
P01_01_179,P01,P01_01,13:43.3,13:42.4,13:45.2,49344,49510,take something,take,0,cupboard,3,['cupboard'],[3],P01_01_seq_00046
P01_01_18,P01,P01_01,00:54.7,00:53.5,00:56.0,3210,3360,take knife,take,0,knife,4,['knife'],[4],P01_01_seq_00006
P01_01_183,P01,P01_01,13:57.6,13:59.1,14:00.4,50348,50426,put down rice,put-down,1,rice,55,['rice'],[55],P01_01_seq_00047
P01_01_186,P01,P01_01,14:14.2,14:07.4,14:24.1,50842,51846,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94],P01_01_seq_00048
