narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,action_presence,camera_motion,lighting,focus,action_completeness,object_presence,quality_score,tsn_raw_logit_verb,tsn_raw_logit_noun,tsn_raw_logit_action,avion_raw_logit_action,avion_raw_logit_verb,avion_raw_logit_noun
P01_01_124,P01,P01_01,00:09:11.5,00:09:13.4,00:09:14.5,33204,33269,take spatula,take,0,spatula,20,['spatula'],[20],1,4.0,4.0,4.0,3.0,4.0,0.6875,0.6937556,0.99738675,0.6919427,0.6963,0.7524,0.7026
P01_01_161,P01,P01_01,00:12:30.0,00:12:31.6,00:12:33.1,45097,45189,open salt,open,3,salt,38,['salt'],[38],1,4.0,4.0,4.0,5.0,3.0,0.7240259740259741,0.6871279,0.9495639,0.65247184,0.4604,0.505,0.5205
P01_01_166,P01,P01_01,00:12:40.3,00:12:42.2,00:12:43.6,45729,45819,pour salt into water,pour-into,9,salt,38,"['salt', 'water']","[38, 27]",1,5.0,5.0,5.0,5.0,5.0,1.0,0.45230195,0.8051465,0.36416933,0.8257,0.8364,0.8403
P01_01_212,P01,P01_01,00:16:10.7,00:16:11.3,00:16:12.0,58275,58317,open top,open,3,top,42,['top'],[42],1,5.0,5.0,2.0,2.0,2.0,0.4078947368421053,0.09250011,0.0014827882,0.00013715807,0.5405,0.624,0.5435
P01_01_23,P01,P01_01,00:00:59.1,00:00:59.1,00:01:02.3,3543,3738,open tap,turn-on,6,tap,0,['tap'],[0],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761904,0.76637113,0.57233495,0.43862098,0.7236,0.724,0.731
P01_01_256,P01,P01_01,00:20:50.0,00:20:51.0,00:20:53.0,75063,75179,take drainer,take,0,drainer,110,['drainer'],[110],1,5.0,5.0,5.0,5.0,5.0,1.0,0.64667296,0.018579321,0.012014745,0.9004,0.922,0.9067
P01_01_270,P01,P01_01,00:22:22.3,00:22:20.4,00:22:33.5,80422,81210,still waiting for rice,wait-for,72,rice,55,['rice'],[55],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.84749585,0.44944578,0.38090345,0.8555,0.8833,0.8623
P01_01_281,P01,P01_01,00:23:33.6,00:23:34.7,00:23:44.2,84882,85453,scoop rice,scoop,16,rice,55,['rice'],[55],1,5.0,5.0,5.0,5.0,5.0,1.0,0.891241,0.9996629,0.89094055,0.774,0.779,0.8203
P01_01_285,P01,P01_01,00:23:48.6,00:23:49.5,00:23:50.2,85769,85814,take spatula,take,0,spatula,20,['spatula'],[20],1,4.0,5.0,3.0,4.0,4.0,0.7240259740259741,0.5132314,0.9804273,0.5031861,0.7583,0.8,0.766
P01_01_291,P01,P01_01,00:24:01.919,00:24:02.96,00:24:04.06,86577,86643,put down curry powder,put-down,1,powder:curry,138,['powder:curry'],[138],1,4.0,3.0,3.0,4.0,4.0,0.6323529411764707,0.7253242,0.9652063,0.70008755,0.7544,0.8125,0.7656
P01_01_293,P01,P01_01,00:24:03.9,00:24:04.9,00:24:17.0,86692,87420,stir rice,stir,10,rice,55,['rice'],[55],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.99906224,0.9703993,0.96948934,0.708,0.739,0.7197
P01_01_305,P01,P01_01,00:25:56.0,00:25:56.8,00:25:58.7,93409,93520,take spatula,take,0,spatula,20,['spatula'],[20],1,4.0,4.0,5.0,4.0,4.0,0.7916666666666667,0.6412264,0.12802961,0.08209597,0.7373,0.7837,0.743
P01_01_313,P01,P01_01,00:26:14.4,00:26:15.4,00:26:17.3,94522,94637,take plate,take,0,plate,2,['plate'],[2],1,5.0,5.0,4.0,4.0,4.0,0.8369565217391306,0.5586313,0.8312959,0.46438792,0.684,0.741,0.693
P01_01_324,P01,P01_01,00:27:05.6,00:27:07.1,00:27:09.7,97624,97782,washing pan,wash,2,pan,5,['pan'],[5],1,5.0,5.0,5.0,5.0,5.0,1.0,0.9511402,0.991397,0.9429576,0.827,0.8438,0.8354
P01_01_35,P01,P01_01,00:01:40.2,00:01:43.0,00:01:43.8,6181,6226,close cupboard,close,4,cupboard,3,['cupboard'],[3],1,5.0,5.0,5.0,4.0,5.0,0.9404761904761904,0.6232005,0.99384886,0.61936706,0.718,0.7305,0.723
P01_01_38,P01,P01_01,00:02:04.5,00:02:02.1,00:02:07.0,7327,7618,turn on hob,turn-on,6,hob,24,['hob'],[24],1,5.0,4.0,4.0,5.0,5.0,0.8863636363636362,0.6094451,0.9944534,0.60606474,0.767,0.7793,0.777
P01_01_48,P01,P01_01,00:04:27.0,00:04:28.6,00:04:29.2,16114,16154,close drawer,close,4,drawer,8,['drawer'],[8],1,5.0,5.0,5.0,4.0,4.0,0.8863636363636362,0.96603096,0.9975926,0.96370536,0.699,0.7134,0.706
P01_01_55,P01,P01_01,00:04:46.280,00:04:47.86,00:04:54.25,17271,17655,stir courgette,stir,10,courgette,76,['courgette'],[76],1,5.0,5.0,5.0,5.0,5.0,1.0,0.9994603,0.94176996,0.94126165,0.674,0.718,0.6846
P01_01_62,P01,P01_01,00:05:17.2,00:05:18.3,00:05:20.0,19095,19200,put down celery,put-down,1,celery,223,['celery'],[223],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761904,0.49856064,0.19341104,0.09642713,0.02872,0.1296,0.1053
P01_01_96,P01,P01_01,00:07:46.5,00:07:49.1,00:07:50.3,28148,28219,take glass,take,0,glass,10,['glass'],[10],1,5.0,5.0,5.0,5.0,5.0,1.0,0.97404385,0.98143446,0.9559602,0.7227,0.765,0.7314
P01_02_43,P01,P01_02,00:02:21.080,00:02:20.87,00:02:26.62,8452,8797,wash cutting board,wash,2,board:cutting,18,['board:cutting'],[18],1,5.0,5.0,5.0,5.0,5.0,1.0,0.9998771,0.9992834,0.9991605,0.651,0.6807,0.658
P01_03_0,P01,P01_03,00:00:00.6,00:00:00.3,00:00:02.1,16,126,open door,open,3,door,3,['door'],[3],1,4.0,2.0,3.0,4.0,4.0,0.5394736842105263,0.31094286,0.38773787,0.12056432,0.7036,0.724,0.7085
P01_03_10,P01,P01_03,00:00:24.4,00:00:24.8,00:00:25.9,1486,1555,put down container,put-down,1,container,21,['container'],[21],1,4.0,4.0,5.0,4.0,5.0,0.8369565217391306,0.4250887,0.29817632,0.12675138,0.584,0.697,0.6
P01_03_19,P01,P01_03,00:00:50.7,00:00:50.8,00:00:51.6,3045,3096,put down cup,put-down,1,cup,13,['cup'],[13],1,5.0,4.0,5.0,4.0,4.0,0.8369565217391306,0.48161715,0.9131715,0.43979907,0.7065,0.747,0.717
P01_03_29,P01,P01_03,00:01:18.3,00:01:18.3,00:01:19.3,4700,4761,take spoon,take,0,spoon,1,['spoon'],[1],1,5.0,5.0,5.0,5.0,5.0,1.0,0.8393911,0.5177579,0.43460137,0.666,0.715,0.676
P01_03_32,P01,P01_03,00:01:23.2,00:01:23.3,00:01:24.2,5000,5053,open cupboard,open,3,cupboard,3,['cupboard'],[3],1,4.0,4.0,5.0,5.0,5.0,0.8863636363636362,0.9739261,0.9999995,0.97392565,0.708,0.724,0.714
P01_05_131,P01,P01_05,00:07:58.5,00:07:57.5,00:07:58.3,28652,28698,move glass,move,11,glass,10,['glass'],[10],1,4.0,4.0,5.0,5.0,4.0,0.8369565217391306,0.8065828,0.99949694,0.806177,0.6553,0.679,0.7344
P01_05_137,P01,P01_05,00:08:10.2,00:08:10.0,00:08:10.8,29401,29446,put down bread,put-down,1,bread,33,['bread'],[33],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.47440943,0.95646083,0.45375404,0.6177,0.7036,0.654
P01_05_146,P01,P01_05,00:08:49.3,00:08:45.7,00:08:48.3,31540,31696,take table cloth,take,0,cloth:table,17,['cloth:table'],[17],1,2.0,4.0,3.0,3.0,3.0,0.4642857142857143,0.7677661,0.63094515,0.4844183,0.825,0.855,0.829
P01_05_149,P01,P01_05,00:08:56.9,00:08:57.3,00:08:59.4,32240,32365,dry blades,dry,14,blade,4,['blade'],[4],1,5.0,4.0,5.0,4.0,4.0,0.8369565217391306,0.54113233,0.13798296,0.074667044,0.7695,0.8667,0.7783
P01_05_154,P01,P01_05,00:09:08.1,00:09:07.4,00:09:09.3,32841,32959,put down fork,put-down,1,fork,14,['fork'],[14],1,5.0,5.0,5.0,5.0,5.0,1.0,0.52799004,0.8940738,0.47206205,0.719,0.762,0.725
P01_05_173,P01,P01_05,00:11:32.5,00:11:31.8,00:11:32.4,41505,41544,adjust hob,adjust,17,hob,24,['hob'],[24],1,4.0,4.0,4.0,4.0,3.0,0.6875,0.8032513,0.99771166,0.80141324,0.71,0.7124,0.744
P01_05_176,P01,P01_05,00:11:46.2,00:11:45.9,00:11:47.0,42351,42417,adjust hob,adjust,17,hob,24,['hob'],[24],1,4.0,4.0,5.0,5.0,4.0,0.8369565217391306,0.926554,0.99808717,0.9247817,0.699,0.703,0.7217
P01_05_179,P01,P01_05,00:12:06.4,00:12:06.0,00:12:15.6,43559,44136,dry hands,dry,14,hand,11,['hand'],[11],1,5.0,5.0,5.0,5.0,5.0,1.0,0.9879567,0.9949051,0.98292315,0.7134,0.716,0.718
P01_05_185,P01,P01_05,00:13:09.1,00:13:08.1,00:13:09.2,47286,47353,put down tongs,put-down,1,tongs,142,['tongs'],[142],1,4.0,4.0,4.0,5.0,5.0,0.8369565217391306,0.51955855,0.81806725,0.42503384,0.8213,0.8535,0.832
P01_05_188,P01,P01_05,00:13:19.4,00:13:19.8,00:13:20.6,47988,48033,put down spoon,put-down,1,spoon,1,['spoon'],[1],1,3.0,5.0,4.0,4.0,4.0,0.7240259740259741,0.7057639,0.9925914,0.7005351,0.687,0.729,0.7026
P01_05_195,P01,P01_05,00:15:56.0,00:15:52.4,00:15:55.3,57142,57319,take lighter,take,0,lighter,130,['lighter'],[130],1,4.0,4.0,3.0,4.0,3.0,0.6323529411764707,0.6790596,0.014298684,0.009709659,0.53,0.625,0.544
P01_05_204,P01,P01_05,00:16:22.2,00:16:22.4,00:16:23.4,58945,59001,flip sausage,flip,22,sausage,86,['sausage'],[86],1,5.0,5.0,5.0,5.0,5.0,1.0,0.75391185,0.99725014,0.7518387,0.803,0.8047,0.861
P01_05_222,P01,P01_05,00:18:29.9,00:18:19.8,00:18:26.7,65986,66404,turn sausage,turn,23,sausage,86,['sausage'],[86],1,4.0,5.0,5.0,5.0,4.0,0.8863636363636362,0.49071816,0.99998724,0.4907119,0.6113,0.6143,0.7773
P01_05_239,P01,P01_05,00:19:54.9,00:19:54.4,00:19:55.1,71666,71707,take sausages,take,0,sausage,86,['sausage'],[86],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.6829413,0.35461184,0.24217908,0.7393,0.8057,0.7783
P01_05_25,P01,P01_05,00:01:22.0,00:01:21.4,00:01:22.8,4882,4965,take glass,take,0,glass,10,['glass'],[10],1,4.0,5.0,4.0,5.0,5.0,0.8863636363636362,0.815062,0.8354015,0.680904,0.693,0.744,0.703
P01_05_49,P01,P01_05,00:02:26.930,00:02:26.57,00:02:28.43,8794,8905,open cupboard,open,3,cupboard,3,['cupboard'],[3],1,5.0,5.0,5.0,5.0,5.0,1.0,0.9645992,0.9999876,0.9645872,0.689,0.706,0.6934
P01_05_56,P01,P01_05,00:02:46.8,00:02:46.4,00:02:47.2,9985,10030,open kettle,open,3,kettle,44,['kettle'],[44],1,5.0,5.0,5.0,5.0,5.0,1.0,0.41200072,0.99715555,0.4108288,0.7476,0.7744,0.773
P01_05_70,P01,P01_05,00:03:17.889,00:03:17.68,00:03:19.20,11860,11952,take knife,take,0,knife,4,['knife'],[4],1,5.0,5.0,5.0,5.0,5.0,1.0,0.72443956,0.6681444,0.48403025,0.6543,0.7183,0.662
P01_05_94,P01,P01_05,00:05:11.0,00:05:11.1,00:05:11.7,18666,18700,throw skin into bin,throw-into,13,skin,48,"['skin', 'bin']","[48, 36]",1,5.0,3.0,5.0,4.0,2.0,0.5926966292134831,0.8452517,0.04705758,0.0397755,0.7476,0.7827,0.7505
P01_07_0,P01,P01_07,00:00:01.6,00:00:00.7,00:00:01.5,42,89,switch on lights,switch-on,6,light,114,['light'],[114],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.44950542,0.98991954,0.44497418,0.621,0.636,0.678
P01_07_28,P01,P01_07,00:01:16.9,00:01:15.4,00:01:16.9,4526,4615,put fry pan into cupboard.,put-into,5,pan:fry,5,"['pan:fry', 'cupboard']","[5, 3]",1,2.0,4.0,3.0,3.0,2.0,0.4021739130434782,0.54978013,0.89488727,0.49199125,0.62,0.691,0.656
P01_07_43,P01,P01_07,00:01:53.5,00:01:52.4,00:01:57.4,6741,7043,pour soy milk into cup,pour-into,9,milk:soy,64,"['milk:soy', 'cup']","[64, 13]",1,5.0,5.0,5.0,4.0,5.0,0.9404761904761904,0.9997156,0.9997116,0.99942726,0.7637,0.7827,0.774
P01_07_47,P01,P01_07,00:02:05.1,00:02:03.7,00:02:05.3,7419,7515,close fridge,close,4,fridge,12,['fridge'],[12],1,5.0,5.0,5.0,5.0,5.0,1.0,0.9892162,0.9989183,0.9881462,0.702,0.715,0.7065
P01_09_0,P01,P01_09,00:00:01.1,00:00:01.1,00:00:03.0,68,180,adjust lights,adjust,17,light,114,['light'],[114],1,5.0,5.0,5.0,5.0,5.0,1.0,0.6478704,0.9912717,0.6422156,0.3533,0.3584,0.4448
P01_09_101,P01,P01_09,00:05:35.6,00:05:34.4,00:05:35.9,20064,20152,put down bowl,put-down,1,bowl,7,['bowl'],[7],1,5.0,4.0,5.0,4.0,5.0,0.8863636363636362,0.7292674,0.9977024,0.7275919,0.671,0.715,0.687
P01_09_135,P01,P01_09,00:10:22.3,00:10:20.5,00:10:21.8,37233,37308,take timer,take,0,timer,111,['timer'],[111],1,5.0,5.0,5.0,5.0,5.0,1.0,0.83449346,0.040644947,0.03391794,0.5522,0.658,0.62
P01_09_143,P01,P01_09,00:10:50.440,00:10:50.33,00:10:51.25,39019,39075,take sponge,take,0,sponge,9,['sponge'],[9],1,5.0,5.0,5.0,4.0,5.0,0.9404761904761904,0.5875277,0.9116118,0.53559715,0.7163,0.772,0.722
P01_09_144,P01,P01_09,00:10:53.5,00:10:52.0,00:10:55.9,39121,39353,rinse sponge,rinse,2,sponge,9,['sponge'],[9],1,4.0,4.0,4.0,4.0,2.0,0.5833333333333334,0.24416094,0.338771,0.08271464,0.605,0.64,0.672
P01_09_167,P01,P01_09,00:12:36.3,00:12:35.4,00:12:41.3,45324,45680,rinse spatula,rinse,2,spatula,20,['spatula'],[20],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.9994779,0.8962086,0.8957407,0.736,0.767,0.7515
P01_09_173,P01,P01_09,00:12:58.6,00:12:58.1,00:13:02.4,46685,46944,wash bowl,wash,2,bowl,7,['bowl'],[7],1,5.0,5.0,5.0,5.0,5.0,1.0,0.98555225,0.9853591,0.97112286,0.6753,0.718,0.6963
P01_09_181,P01,P01_09,00:13:12.070,00:13:13.01,00:13:14.01,47580,47640,put down cloth,put-down,1,cloth,17,['cloth'],[17],1,5.0,5.0,5.0,4.0,2.0,0.6759259259259258,0.2765437,0.652608,0.18047462,0.681,0.7344,0.693
P01_09_221,P01,P01_09,00:17:02.3,00:17:02.3,00:17:03.1,61338,61383,take knife,take,0,knife,4,['knife'],[4],1,5.0,5.0,5.0,5.0,5.0,1.0,0.47417217,0.9978538,0.47315452,0.6997,0.7534,0.707
P01_09_239,P01,P01_09,00:18:36.5,00:18:36.0,00:18:36.9,66957,67013,open container,open,3,container,21,['container'],[21],1,5.0,5.0,5.0,5.0,5.0,1.0,0.39869872,0.834655,0.33277586,0.593,0.663,0.603
P01_09_248,P01,P01_09,00:18:53.2,00:18:56.6,00:18:58.5,68197,68312,open fridge,open,3,fridge,12,['fridge'],[12],1,4.0,4.0,4.0,4.0,4.0,0.75,0.9863999,0.99930036,0.9857098,0.672,0.688,0.676
P01_09_25,P01,P01_09,00:00:58.7,00:00:58.7,00:01:00.7,3521,3644,put cup into cupboard,put-into,5,cup,13,"['cup', 'cupboard']","[13, 3]",1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.35405436,0.9885405,0.34999707,0.5664,0.6265,0.599
P01_09_275,P01,P01_09,00:21:15.9,00:21:15.9,00:21:16.8,76551,76610,put down cutting board and knife,put-down,1,board:cutting,18,"['board:cutting', 'knife']","[18, 4]",1,4.0,4.0,4.0,3.0,4.0,0.6875,0.54950166,0.6599844,0.36266252,0.6562,0.717,0.663
P01_09_282,P01,P01_09,00:21:38.9,00:21:38.4,00:21:39.3,77904,77958,take knife,take,0,knife,4,['knife'],[4],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761904,0.45653522,0.75302184,0.343781,0.7183,0.766,0.726
P01_09_316,P01,P01_09,00:23:40.5,00:23:51.1,00:23:52.9,85864,85974,pour,pour,9,mushroom,56,['mushroom'],[56],1,5.0,5.0,5.0,5.0,5.0,1.0,0.9138517,0.9437802,0.8624751,0.3242,0.344,0.3635
P01_09_346,P01,P01_09,00:25:41.6,00:25:42.0,00:25:42.9,92521,92572,open fridge,open,3,fridge,12,['fridge'],[12],1,5.0,5.0,5.0,5.0,5.0,1.0,0.9988661,0.99998,0.99884605,0.687,0.7036,0.692
P01_09_355,P01,P01_09,00:26:04.5,00:26:04.1,00:26:05.9,93848,93953,move plate,move,11,plate,2,['plate'],[2],1,4.0,5.0,4.0,4.0,5.0,0.8369565217391306,0.44062218,0.9920508,0.4371196,0.5205,0.5864,0.5444
P01_09_376,P01,P01_09,00:27:47.7,00:27:47.7,00:27:48.9,100062,100131,take salt,take,0,salt,38,['salt'],[38],1,5.0,5.0,5.0,5.0,5.0,1.0,0.38402116,0.99813557,0.3833052,0.6826,0.7485,0.704
P01_09_402,P01,P01_09,00:29:33.4,00:29:32.9,00:29:34.1,106371,106444,dry hands,dry,14,hand,11,['hand'],[11],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761904,0.11135974,0.103104375,0.011481676,0.5684,0.573,0.573
P01_09_417,P01,P01_09,00:30:21.4,00:30:20.9,00:30:22.1,109251,109326,take scissors,take,0,scissors,79,['scissors'],[79],1,5.0,4.0,5.0,5.0,3.0,0.806338028169014,0.84118366,0.108817145,0.0915352,0.652,0.738,0.6616
P01_09_438,P01,P01_09,00:31:29.2,00:31:29.1,00:31:30.1,113344,113408,take scissors,take,0,scissors,79,['scissors'],[79],1,4.0,5.0,3.0,4.0,4.0,0.7240259740259741,0.5123869,0.055970777,0.028678695,0.6777,0.7563,0.6997
P01_09_448,P01,P01_09,00:32:02.4,00:32:02.4,00:32:03.6,115343,115418,put scissors into drawer,put-into,5,scissors,79,"['scissors', 'drawer']","[79, 8]",1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.16039503,0.49605715,0.0795651,0.6646,0.717,0.714
P01_09_45,P01,P01_09,00:01:55.9,00:01:54.7,00:01:57.2,6883,7033,dry hands,dry,14,hand,11,['hand'],[11],1,5.0,4.0,5.0,5.0,4.0,0.8863636363636362,0.8816471,0.34249666,0.30196118,0.734,0.7363,0.7363
P01_09_452,P01,P01_09,00:32:17.1,00:32:17.3,00:32:19.8,116240,116386,flip aubergine,flip,22,aubergine,67,['aubergine'],[67],1,5.0,5.0,5.0,5.0,5.0,1.0,0.9933072,0.999966,0.99327344,0.6567,0.661,0.673
P01_09_469,P01,P01_09,00:33:08.6,00:33:07.7,00:33:10.0,119259,119399,put aubergine onto plate,put-onto,1,aubergine,67,"['aubergine', 'plate']","[67, 2]",1,5.0,5.0,4.0,5.0,4.0,0.8863636363636362,0.84634477,0.99991703,0.84627455,0.688,0.739,0.7173
