narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,action_presence,camera_motion,lighting,focus,action_completeness,object_presence,quality_score,combined_class
P28_108_0_1,P04,P04_121,00:12:20.100,00:12:21.19,00:12:31.33,37059,37566,scour bowl,scour,0,bowl,14,['bowl'],[7],0,5.0,4.0,5.0,5.0,5.0,0.0,0_14
P28_104_128_0,P28,P28_104_128_0,00:00:00.000,00:00:00.000,00:00:00.833,1,50,take spatula,take,0,spatula,20,['spatula'],[20],1,4.0,1.0,2.0,2.0,2.0,0.2045454545454545,0_20
P06_101_131_1,P06,P06_101_131_1,00:00:00.000,00:00:00.000,00:00:03.000,1,180,chop chillies and garlic,chop,7,chilli,69,"['chilli', 'garlic']","[69, 51]",1,5.0,5.0,5.0,1.0,5.0,0.4444444444444444,7_69
P37_101_217_3,P10,P10_04,00:52:57.2,00:52:37.9,00:52:41.1,189474,189665,put some cleaning liquids on the clothes,put-on,19,liquid:cleaning,48,"['liquid:cleaning', 'clothes']","[22, 73]",0,5.0,4.0,5.0,5.0,5.0,0.0,19_48
P06_01_11_0,P06,P06_01_11_0,00:00:00.000,00:00:00.000,00:00:03.750,1,225,open cereal,open,3,cereal,99,['cereal'],[99],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,3_99
P06_103_17_0,P06,P06_103_17_0,00:00:00.000,00:00:00.000,00:00:00.733,1,44,pick up chopping board,pick-up,0,board:chopping,18,['board:chopping'],[18],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,0_18
P03_113_46_1,P03,P03_113_46_1,00:00:00.000,00:00:00.000,00:00:01.583,1,95,turn on tap,turn-on,6,tap,0,['tap'],[0],1,5.0,5.0,4.0,5.0,1.0,0.4256756756756756,6_0
P01_09_581_0,P01,P01_09_581_0,00:00:00.000,00:00:00.000,00:00:01.733,1,104,move mozzarella bag,move,11,bag:mozzarella,19,['bag:mozzarella'],[19],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,11_19
P25_107_428_1,P25,P25_107_428_1,00:00:00.000,00:00:00.000,00:00:01.433,1,86,flip aubergine,flip,22,aubergine,67,['aubergine'],[67],1,4.0,4.0,5.0,1.0,5.0,0.4078947368421053,22_67
P23_02_163_1,P23,P23_02_163_1,00:00:00.000,00:00:00.000,00:00:00.833,1,50,close the tap,turn-off,8,tap,0,['tap'],[0],1,4.0,4.0,4.0,2.0,1.0,0.3055555555555556,8_0
P24_05_63_0,P24,P24_05_63_0,00:00:00.000,00:00:00.000,00:00:05.633,1,338,close cupboard,close,4,cupboard,3,['cupboard'],[3],0,,1.0,,,,0.0,4_3
P22_117_268_2,P22,P22_117,00:12:58.1,00:12:57.9,00:12:58.4,38894,38918,pick up peeler,pick-up,4,peeler,6,['peeler'],[87],0,4.0,4.0,4.0,3.0,4.0,0.0,4_6
P01_01_166_1,P01,P01_01_166_1,00:00:00.000,00:00:00.000,00:00:01.500,1,90,pour salt into water,pour-into,9,salt,38,"['salt', 'water']","[38, 27]",1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,9_38
P04_114_50,P04,P04_114,00:01:34.6,00:01:35.0,00:01:36.1,4747,4805,put aeropress on mug,put-on,1,aeropress,50,"['aeropress', 'mug']","[50, 13]",1,5.0,3.0,4.0,2.0,3.0,0.5231958762886598,1_50
P02_122_88_1,P02,P02_122_88_1,00:00:00.000,00:00:00.000,00:00:01.083,1,65,pour salt in plate,pour-in,9,salt,38,"['salt', 'plate']","[38, 2]",1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,9_38
