narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,action_presence,camera_motion,lighting,focus,action_completeness,object_presence,quality_score
P01_01_124,P01,P01_01,00:09:11.5,00:09:13.4,00:09:14.5,33204,33269,take spatula,take,0,spatula,20,['spatula'],[20],1,4.0,4.0,4.0,3.0,4.0,0.6875
P01_01_161,P01,P01_01,00:12:30.0,00:12:31.6,00:12:33.1,45097,45189,open salt,open,3,salt,38,['salt'],[38],1,4.0,4.0,4.0,5.0,3.0,0.7240259740259741
P01_01_166,P01,P01_01,00:12:40.3,00:12:42.2,00:12:43.6,45729,45819,pour salt into water,pour-into,9,salt,38,"['salt', 'water']","[38, 27]",1,5.0,5.0,5.0,5.0,5.0,1.0
P01_01_212,P01,P01_01,00:16:10.7,00:16:11.3,00:16:12.0,58275,58317,open top,open,3,top,42,['top'],[42],1,5.0,5.0,2.0,2.0,2.0,0.4078947368421053
P01_01_23,P01,P01_01,00:00:59.1,00:00:59.1,00:01:02.3,3543,3738,open tap,turn-on,6,tap,0,['tap'],[0],1,5.0,5.0,4.0,5.0,5.0,0.8519948519948519
P01_01_256,P01,P01_01,00:20:50.0,00:20:51.0,00:20:53.0,75063,75179,take drainer,take,0,drainer,110,['drainer'],[110],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_01_270,P01,P01_01,00:22:22.3,00:22:20.4,00:22:33.5,80422,81210,still waiting for rice,wait-for,72,rice,55,['rice'],[55],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_01_281,P01,P01_01,00:23:33.6,00:23:34.7,00:23:44.2,84882,85453,scoop rice,scoop,16,rice,55,['rice'],[55],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_01_285,P01,P01_01,00:23:48.6,00:23:49.5,00:23:50.2,85769,85814,take spatula,take,0,spatula,20,['spatula'],[20],1,4.0,5.0,3.0,4.0,4.0,0.7240259740259741
P01_01_291,P01,P01_01,00:24:01.919,00:24:02.96,00:24:04.06,86577,86643,put down curry powder,put-down,1,powder:curry,138,['powder:curry'],[138],1,4.0,3.0,3.0,4.0,4.0,0.6323529411764707
P01_01_293,P01,P01_01,00:24:03.9,00:24:04.9,00:24:17.0,86692,87420,stir rice,stir,10,rice,55,['rice'],[55],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_01_305,P01,P01_01,00:25:56.0,00:25:56.8,00:25:58.7,93409,93520,take spatula,take,0,spatula,20,['spatula'],[20],1,4.0,4.0,5.0,4.0,4.0,0.7916666666666667
P01_01_313,P01,P01_01,00:26:14.4,00:26:15.4,00:26:17.3,94522,94637,take plate,take,0,plate,2,['plate'],[2],1,5.0,5.0,4.0,4.0,4.0,0.8369565217391306
P01_01_324,P01,P01_01,00:27:05.6,00:27:07.1,00:27:09.7,97624,97782,washing pan,wash,2,pan,5,['pan'],[5],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_01_35,P01,P01_01,00:01:40.2,00:01:43.0,00:01:43.8,6181,6226,close cupboard,close,4,cupboard,3,['cupboard'],[3],1,5.0,5.0,5.0,4.0,5.0,0.9404761904761905
P01_01_38,P01,P01_01,00:02:04.5,00:02:02.1,00:02:07.0,7327,7618,turn on hob,turn-on,6,hob,24,['hob'],[24],1,5.0,4.0,4.0,5.0,5.0,0.8863636363636362
P01_01_48,P01,P01_01,00:04:27.0,00:04:28.6,00:04:29.2,16114,16154,close drawer,close,4,drawer,8,['drawer'],[8],1,5.0,5.0,5.0,4.0,4.0,0.8863636363636362
P01_01_55,P01,P01_01,00:04:46.280,00:04:47.86,00:04:54.25,17271,17655,stir courgette,stir,10,courgette,76,['courgette'],[76],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_01_62,P01,P01_01,00:05:17.2,00:05:18.3,00:05:20.0,19095,19200,put down celery,put-down,1,celery,223,['celery'],[223],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761905
P01_01_96,P01,P01_01,00:07:46.5,00:07:49.1,00:07:50.3,28148,28219,take glass,take,0,glass,10,['glass'],[10],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_02_43,P01,P01_02,00:02:21.080,00:02:20.87,00:02:26.62,8452,8797,wash cutting board,wash,2,board:cutting,18,['board:cutting'],[18],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_03_0,P01,P01_03,00:00:00.6,00:00:00.3,00:00:02.1,16,126,open door,open,3,door,3,['door'],[3],1,4.0,2.0,3.0,4.0,4.0,0.5394736842105263
P01_03_10,P01,P01_03,00:00:24.4,00:00:24.8,00:00:25.9,1486,1555,put down container,put-down,1,container,21,['container'],[21],1,4.0,4.0,5.0,4.0,5.0,0.8369565217391306
P01_03_19,P01,P01_03,00:00:50.7,00:00:50.8,00:00:51.6,3045,3096,put down cup,put-down,1,cup,13,['cup'],[13],1,5.0,4.0,5.0,4.0,4.0,0.8369565217391306
P01_03_29,P01,P01_03,00:01:18.3,00:01:18.3,00:01:19.3,4700,4761,take spoon,take,0,spoon,1,['spoon'],[1],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_03_32,P01,P01_03,00:01:23.2,00:01:23.3,00:01:24.2,5000,5053,open cupboard,open,3,cupboard,3,['cupboard'],[3],1,4.0,4.0,5.0,5.0,5.0,0.8863636363636362
P01_05_131,P01,P01_05,00:07:58.5,00:07:57.5,00:07:58.3,28652,28698,move glass,move,11,glass,10,['glass'],[10],1,4.0,4.0,5.0,5.0,4.0,0.8369565217391306
P01_05_137,P01,P01_05,00:08:10.2,00:08:10.0,00:08:10.8,29401,29446,put down bread,put-down,1,bread,33,['bread'],[33],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_05_146,P01,P01_05,00:08:49.3,00:08:45.7,00:08:48.3,31540,31696,take table cloth,take,0,cloth:table,17,['cloth:table'],[17],1,2.0,4.0,3.0,3.0,3.0,0.4642857142857143
P01_05_149,P01,P01_05,00:08:56.9,00:08:57.3,00:08:59.4,32240,32365,dry blades,dry,14,blade,4,['blade'],[4],1,5.0,4.0,5.0,4.0,4.0,0.4184782608695653
P01_05_154,P01,P01_05,00:09:08.1,00:09:07.4,00:09:09.3,32841,32959,put down fork,put-down,1,fork,14,['fork'],[14],1,5.0,5.0,5.0,5.0,5.0,1.0
