narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,quality_score,combined_class
P11_105_8,P11,P11_105,00:28.9,00:28.2,00:29.2,1412,1459,close oven,close,4,oven,46,['oven'],[46],0.78,4_46
P06_102_126,P06,P06_102,00:12:04.405,00:12:04.11,00:12:05.08,36205,36254,pick up cling film,pick-up,0,film:cling,100,['film:cling'],[100],0.72,0_100
P04_104_57,P04,P04_104,00:02:15.600,00:02:15.84,00:02:16.33,6792,6816,put tub under tap,put-under,1,tub,23,"['tub', 'tap']","[23, 0]",1.0,1_23
P03_13_8,P03,P03_13,00:26.9,00:23.0,00:25.0,1380,1497,grab saucepan,grab,0,saucepan,5,['saucepan'],[5],0.72,0_5
P02_07_16,P02,P02_07,00:33.1,00:32.6,00:33.2,1954,1995,put tongs,put,1,tongs,142,['tongs'],[142],0.92,1_142
P35_109_103,P35,P35_109,05:24.6,05:24.3,05:25.7,16213,16285,open fridge,open,3,fridge,12,['fridge'],[12],0.9,3_12
P03_112_112,P03,P03_112,03:52.4,03:51.0,03:56.4,11549,11818,close cheese bag,close,4,bag:cheese,19,['bag:cheese'],[19],1.0,4_19
P28_13_32,P28,P28_13,02:20.7,02:18.8,02:21.3,8326,8476,put down pan,put-down,1,pan,5,['pan'],[5],1.0,1_5
P25_107_211,P25,P25_107,00:18:05.350,00:18:02.82,00:18:03.91,54141,54195,put down aubergine,put-down,1,aubergine,67,['aubergine'],[67],0.88,1_67
P04_12_6,P04,P04_12,00:38.5,00:46.0,00:47.5,2757,2851,open drawer,open,3,drawer,8,['drawer'],[8],1.0,3_8
P25_107_314,P25,P25_107,24:21.6,24:21.0,24:24.5,73048,73222,pick up aubergine,pick-up,0,aubergine,67,['aubergine'],[67],1.0,0_67
P03_04_326,P03,P03_04,23:59.6,23:56.5,23:58.2,86193,86294,open cupboard,open,3,cupboard,3,['cupboard'],[3],0.88,3_3
P04_12_13,P04,P04_12,00:02:14.190,00:02:13.27,00:02:14.49,7996,8069,pick up spice,pick-up,0,spice,85,['spice'],[85],0.8,0_85
P37_103_3,P37,P37_103,00:12.2,00:11.5,00:19.1,573,952,debone chicken thighs,debone,30,thigh:chicken,57,['thigh:chicken'],[57],0.72,30_57
